 DEBUG root [2018-09-03 18:54:24,718] - ClientSDK::saveFile(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins/SceneBase.cs
 DEBUG root [2018-09-03 18:54:24,723] - ClientSDK::saveFile(): C:\Users\gdlcf\Desktop\Projects\kbengine\getstarted_assets\\..\unity3d\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallSceneBase.cs
 DEBUG root [2018-09-03 18:54:24,735] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-09-03 18:54:24,736] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-09-03 18:54:24,736] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-09-03 18:54:24,736] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-09-03 18:54:24,737] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-09-03 18:54:24,737] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-09-03 18:54:24,737] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-09-03 18:54:24,737] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-09-03 18:54:24,756] - Script::uninstall(): is successfully!
 DEBUG root [2018-09-03 18:54:24,756] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-09-03 18:54:25,057] - ThreadPool::destroy(): waiting for thread(2)[0x968f10,0x968d70,], try=1
 DEBUG root [2018-09-03 18:54:25,459] - TPThread::~TPThread(): 0x968f10
 DEBUG root [2018-09-03 18:54:25,459] - TPThread::~TPThread(): 0x968d70
 DEBUG root [2018-09-03 18:54:25,460] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-09-03 18:54:25,482] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-09-03 18:54:25,483] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,483] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,483] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,484] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,484] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,484] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-09-03 18:54:25,484] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-09-03 18:54:25,484] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-09-03 18:54:26,489] - EventDispatcher()::~EventDispatcher: Num timers = 2
